Education,JoiningYear,City,Age,Gender,EverBenched,ExperienceInCurrentDomain,PaymentTier
Bachelors,2014,Bangalore,29,Female,No,0,3
Bachelors,2015,Bangalore,24,Female,No,2,3
Masters,2012,Pune,25,Male,No,3,3
Bachelors,2013,Pune,25,Male,No,3,3
Masters,2017,New Delhi,26,Female,No,4,3
Bachelors,2015,Pune,28,Female,Yes,1,2
Bachelors,2017,New Delhi,28,Male,No,2,3
Masters,2015,Pune,28,Female,No,3,1
Masters,2015,New Delhi,25,Male,No,3,3
Bachelors,2017,Bangalore,28,Male,No,1,3
Masters,2013,Pune,25,Male,No,3,3
Bachelors,2015,Bangalore,25,Female,No,3,2
Bachelors,2015,Bangalore,27,Female,No,5,3
Bachelors,2017,Pune,27,Female,No,5,2
Bachelors,2013,Bangalore,27,Male,No,5,3
Bachelors,2012,Bangalore,25,Male,No,3,3
Masters,2017,New Delhi,28,Male,No,2,2
Bachelors,2014,Pune,26,Female,No,4,1
Bachelors,2015,Bangalore,28,Male,No,2,3
Masters,2013,New Delhi,26,Male,No,4,3
Bachelors,2017,Bangalore,26,Female,No,4,3
Bachelors,2017,New Delhi,25,Male,No,3,2
Bachelors,2012,Bangalore,28,Female,No,3,1
PHD,2015,New Delhi,26,Male,No,4,3
Bachelors,2015,New Delhi,25,Female,No,3,3
Bachelors,2012,Bangalore,26,Male,No,4,3
Bachelors,2014,Bangalore,28,Female,No,3,3
Masters,2014,Pune,24,Male,No,2,3
Bachelors,2013,Bangalore,28,Male,No,1,3
Bachelors,2015,Pune,27,Male,No,5,3
Bachelors,2018,Bangalore,25,Male,No,3,3
Masters,2013,Pune,24,Male,No,2,1
Bachelors,2017,Bangalore,26,Female,No,4,3
Bachelors,2013,Bangalore,28,Male,No,1,3
Masters,2016,New Delhi,27,Male,No,5,3
Masters,2017,Bangalore,26,Male,No,4,3
Masters,2017,New Delhi,24,Male,No,2,2
Masters,2018,New Delhi,26,Male,No,4,3
Masters,2017,New Delhi,25,Female,No,3,1
Bachelors,2012,Pune,28,Male,No,2,3
Bachelors,2017,New Delhi,28,Male,No,2,3
Bachelors,2013,Bangalore,26,Male,No,4,3
Masters,2013,New Delhi,27,Male,No,5,3
Bachelors,2017,Pune,24,Female,No,2,2
Bachelors,2017,New Delhi,28,Female,No,2,3
Bachelors,2016,Bangalore,26,Male,No,4,3
Bachelors,2013,Bangalore,27,Female,No,5,3
Masters,2015,Pune,28,Female,No,3,2
Bachelors,2014,Bangalore,25,Male,No,3,3
Bachelors,2016,Pune,28,Male,No,1,3
Masters,2013,Bangalore,25,Male,No,3,1
Bachelors,2015,Pune,26,Male,No,4,3
Bachelors,2018,New Delhi,27,Female,No,5,3
Bachelors,2016,Bangalore,24,Male,No,2,3
Bachelors,2012,Pune,24,Female,No,2,2
Bachelors,2014,Bangalore,26,Male,No,4,3
Bachelors,2016,Pune,24,Female,No,2,2
Masters,2012,New Delhi,26,Female,No,4,3
Bachelors,2013,Bangalore,28,Female,No,3,3
Bachelors,2012,Bangalore,24,Male,No,2,3
Bachelors,2015,Bangalore,25,Male,No,3,3
Bachelors,2016,Bangalore,28,Male,No,3,3
Bachelors,2014,Bangalore,28,Female,No,3,3
Bachelors,2013,Bangalore,26,Female,No,4,3
Masters,2017,New Delhi,24,Female,No,2,3
Bachelors,2016,Bangalore,25,Male,No,3,3
Bachelors,2015,Bangalore,25,Male,No,3,3
Bachelors,2014,Bangalore,27,Male,No,5,3
Bachelors,2012,Bangalore,24,Male,No,2,3
Bachelors,2014,Bangalore,25,Male,No,3,3
Bachelors,2015,Bangalore,28,Male,No,3,3
Masters,2015,New Delhi,26,Male,No,4,3
Bachelors,2014,New Delhi,28,Female,No,1,3
Bachelors,2015,Pune,25,Male,No,3,3
Masters,2015,Pune,28,Female,No,2,2
Bachelors,2014,Bangalore,27,Female,No,5,3
Bachelors,2013,Bangalore,26,Male,No,4,3
Bachelors,2016,Bangalore,26,Male,No,4,3
Bachelors,2012,Bangalore,25,Male,No,3,3
Bachelors,2015,Bangalore,25,Male,No,3,3
Bachelors,2014,New Delhi,24,Female,No,2,3
Bachelors,2012,Bangalore,27,Male,No,5,3
Masters,2017,New Delhi,27,Male,No,5,3
Bachelors,2015,Pune,27,Male,No,5,3
Bachelors,2018,Bangalore,24,Male,No,2,3
Masters,2017,New Delhi,27,Male,No,5,3
Masters,2017,New Delhi,28,Female,No,1,2
Masters,2017,Pune,24,Male,No,2,2
Masters,2016,New Delhi,25,Female,No,3,3
PHD,2015,New Delhi,28,Female,No,1,3
Bachelors,2017,New Delhi,26,Male,No,4,2
Bachelors,2013,Bangalore,27,Male,No,5,2
Bachelors,2015,Bangalore,26,Male,No,4,3
Bachelors,2015,Bangalore,26,Male,No,4,3
Bachelors,2013,Bangalore,28,Male,No,1,3
Bachelors,2015,Bangalore,27,Female,No,5,3
Bachelors,2013,New Delhi,25,Female,No,3,3
Bachelors,2013,Pune,28,Male,No,1,3
Bachelors,2017,Pune,24,Male,No,2,3
Bachelors,2013,New Delhi,27,Female,No,5,3
Bachelors,2015,Bangalore,28,Male,Yes,2,3
Bachelors,2015,Pune,28,Male,No,3,3
Bachelors,2014,Pune,25,Female,No,3,2
Bachelors,2014,Bangalore,25,Male,No,3,3
Bachelors,2017,Bangalore,27,Male,No,5,3
Bachelors,2014,Pune,26,Female,No,4,2
PHD,2013,New Delhi,24,Male,No,2,3
Bachelors,2015,Pune,26,Female,No,4,2
Bachelors,2017,Bangalore,25,Male,No,3,3
Masters,2013,Pune,27,Male,No,5,2
Masters,2017,Bangalore,28,Male,No,2,3
Bachelors,2012,Bangalore,25,Male,No,3,3
Bachelors,2017,Bangalore,27,Male,No,5,3
Masters,2017,Pune,27,Female,No,5,2
Masters,2013,Bangalore,28,Female,No,2,2
Masters,2017,Pune,28,Male,No,1,3
Bachelors,2018,Bangalore,27,Female,No,5,3
Bachelors,2014,New Delhi,25,Female,No,3,3
Masters,2017,New Delhi,27,Male,No,5,3
Masters,2013,New Delhi,26,Male,No,4,3
Bachelors,2013,Pune,25,Female,No,3,2
Masters,2012,New Delhi,26,Male,No,4,3
Bachelors,2016,Bangalore,25,Male,No,3,3
Bachelors,2013,Pune,26,Male,No,4,2
Bachelors,2018,Bangalore,28,Female,No,2,3
Bachelors,2013,Bangalore,27,Male,No,5,3
Bachelors,2015,Pune,24,Female,Yes,2,1
Bachelors,2013,Pune,28,Male,No,2,3
Bachelors,2015,Pune,27,Female,Yes,5,2
Bachelors,2018,Bangalore,25,Male,No,3,3
Bachelors,2014,Pune,27,Female,No,5,2
Bachelors,2013,Pune,24,Male,No,2,3
Bachelors,2014,Pune,24,Male,No,2,3
PHD,2015,New Delhi,25,Female,No,3,2
Bachelors,2014,Bangalore,26,Male,Yes,4,3
Bachelors,2018,Bangalore,24,Male,No,2,3
Masters,2015,Pune,25,Female,No,3,2
Bachelors,2015,Bangalore,24,Male,No,2,3
Bachelors,2014,New Delhi,24,Female,No,2,3
Masters,2017,Bangalore,26,Female,No,4,2
Bachelors,2012,New Delhi,28,Male,No,1,3
Masters,2017,Pune,26,Female,No,4,2
Bachelors,2016,Pune,25,Male,No,3,3
Bachelors,2017,New Delhi,24,Male,No,2,3
Bachelors,2013,Pune,28,Female,No,3,2
Bachelors,2014,Bangalore,25,Female,No,3,3
Bachelors,2014,Bangalore,25,Male,No,3,3
Bachelors,2014,Pune,24,Female,No,2,2
Bachelors,2015,Bangalore,28,Male,No,2,3
Bachelors,2015,Bangalore,27,Male,No,5,3
Bachelors,2016,Pune,26,Male,No,4,3
Masters,2015,New Delhi,26,Female,No,4,3
Bachelors,2016,Bangalore,28,Female,No,2,1
Bachelors,2014,Bangalore,25,Male,Yes,3,3
Bachelors,2014,Bangalore,27,Male,No,5,3
Bachelors,2017,Bangalore,28,Male,No,2,3
Masters,2018,New Delhi,24,Female,Yes,2,3
Bachelors,2017,Pune,25,Male,No,3,2
Bachelors,2018,Pune,24,Female,No,2,2
Masters,2017,New Delhi,28,Female,No,1,2
Bachelors,2013,New Delhi,27,Female,No,5,1
Bachelors,2017,New Delhi,27,Female,No,5,2
Bachelors,2017,Bangalore,28,Male,No,1,3
Bachelors,2016,Pune,27,Female,No,5,2
Masters,2018,Bangalore,24,Male,No,2,3
Bachelors,2012,Pune,26,Male,No,4,1
Bachelors,2016,Bangalore,26,Male,No,4,3
Masters,2016,New Delhi,27,Male,No,5,1
Bachelors,2015,New Delhi,26,Female,No,4,3
Bachelors,2012,Bangalore,27,Male,Yes,5,3
Bachelors,2013,Bangalore,24,Male,Yes,2,3
Bachelors,2018,Bangalore,26,Female,No,4,3
Masters,2017,Pune,26,Female,No,4,2
Masters,2017,New Delhi,28,Female,No,2,2
Bachelors,2013,Pune,28,Male,No,1,3
Masters,2013,New Delhi,25,Male,No,3,3
Bachelors,2018,Bangalore,28,Female,Yes,1,3
Bachelors,2013,Pune,27,Female,No,5,3
Bachelors,2012,Bangalore,25,Male,No,3,3
Bachelors,2014,Bangalore,28,Male,No,1,3
Bachelors,2017,New Delhi,28,Female,No,3,3
Masters,2017,New Delhi,28,Male,Yes,2,2
Bachelors,2014,Bangalore,25,Male,No,3,3
Masters,2017,New Delhi,26,Male,No,4,3
Bachelors,2015,Pune,25,Female,No,3,1
Masters,2013,New Delhi,27,Male,No,5,3
PHD,2014,Bangalore,24,Female,No,2,3
Masters,2017,New Delhi,27,Female,No,5,2
Bachelors,2018,Bangalore,26,Male,No,4,3
Bachelors,2012,Bangalore,26,Male,No,4,3
Masters,2015,Pune,27,Female,No,5,3
Bachelors,2018,Bangalore,26,Male,No,4,3
Bachelors,2016,Bangalore,24,Male,No,2,3
Masters,2017,New Delhi,25,Female,No,3,2
Bachelors,2017,New Delhi,28,Male,No,1,2
Bachelors,2012,New Delhi,27,Female,No,5,3
Masters,2013,New Delhi,26,Male,No,4,3
Bachelors,2015,Bangalore,26,Female,Yes,4,3
Bachelors,2014,Pune,28,Male,No,2,3
Bachelors,2016,Bangalore,24,Female,No,2,3
Bachelors,2012,Bangalore,28,Male,No,3,3
Bachelors,2012,Bangalore,27,Male,No,5,3
Bachelors,2013,Bangalore,26,Male,No,4,3
Bachelors,2014,New Delhi,28,Female,No,1,3
Bachelors,2014,New Delhi,27,Female,Yes,5,3
Bachelors,2015,Pune,26,Female,Yes,4,3
Masters,2014,New Delhi,26,Male,No,4,3
PHD,2015,New Delhi,25,Female,No,3,3
Masters,2015,New Delhi,25,Male,No,3,3
Bachelors,2012,Pune,27,Male,No,5,3
Masters,2017,New Delhi,24,Female,No,2,2
Bachelors,2016,Bangalore,24,Male,No,2,3
Masters,2015,Pune,28,Female,No,2,3
Bachelors,2017,Bangalore,24,Female,No,2,3
Bachelors,2017,Pune,25,Male,No,3,3
Bachelors,2017,Bangalore,25,Male,No,3,1
Masters,2015,Pune,28,Female,No,2,3
Bachelors,2017,Pune,26,Male,No,4,3
Bachelors,2014,Pune,24,Male,No,2,3
Bachelors,2014,Pune,25,Female,No,3,3
Bachelors,2018,Pune,26,Female,No,4,3
Bachelors,2016,Bangalore,27,Male,No,5,3
Bachelors,2017,Bangalore,28,Female,No,2,3
Bachelors,2012,Pune,28,Male,No,2,3
Masters,2012,New Delhi,24,Female,No,2,3
Bachelors,2013,Bangalore,26,Male,No,4,3
Bachelors,2015,New Delhi,26,Female,Yes,4,3
Bachelors,2017,Bangalore,28,Male,No,1,3
Bachelors,2018,Pune,25,Male,Yes,3,3
Masters,2017,New Delhi,24,Male,No,2,3
Bachelors,2013,Bangalore,28,Male,No,2,3
Bachelors,2017,Bangalore,24,Male,No,2,3
Masters,2017,New Delhi,25,Female,No,3,2
Bachelors,2013,Pune,28,Female,No,1,2
Bachelors,2015,Bangalore,24,Female,No,2,3
Bachelors,2016,Pune,26,Male,No,4,3
Bachelors,2015,New Delhi,27,Female,No,5,2
Bachelors,2018,Bangalore,24,Female,No,2,3
Bachelors,2013,Bangalore,27,Female,No,5,3
Bachelors,2013,Bangalore,24,Male,Yes,2,3
Bachelors,2013,Bangalore,24,Female,No,2,3
Bachelors,2013,Bangalore,27,Male,No,5,3
Bachelors,2017,Bangalore,26,Female,No,4,3
Bachelors,2015,Bangalore,24,Female,No,2,3
Bachelors,2012,Pune,24,Female,No,2,3
Bachelors,2016,Bangalore,24,Male,Yes,2,3
Bachelors,2012,Bangalore,28,Male,No,3,3
Bachelors,2017,New Delhi,27,Male,No,5,2
Bachelors,2012,Pune,27,Female,No,5,2
Masters,2017,Pune,27,Male,No,5,2
Bachelors,2017,Pune,24,Male,No,2,2
Bachelors,2016,Pune,26,Female,No,4,1
Bachelors,2015,Pune,26,Female,No,4,3
Bachelors,2016,Bangalore,25,Male,No,3,3
Bachelors,2012,Pune,26,Male,No,4,3
Bachelors,2017,Bangalore,28,Male,No,2,3
Bachelors,2012,Bangalore,25,Male,No,3,3
Bachelors,2017,Bangalore,25,Female,Yes,3,3
Masters,2017,Pune,26,Male,No,4,2
Masters,2017,Pune,28,Male,No,1,3
Masters,2015,Pune,25,Female,No,3,2
Bachelors,2017,New Delhi,26,Female,No,4,2
Bachelors,2017,New Delhi,26,Male,No,4,2
Bachelors,2016,Bangalore,27,Male,No,5,3
Bachelors,2017,New Delhi,27,Female,No,5,3
Bachelors,2015,New Delhi,24,Female,No,2,3
Masters,2017,Bangalore,26,Female,No,4,1
Bachelors,2017,New Delhi,28,Female,No,2,1
Bachelors,2015,Bangalore,24,Male,No,2,3
Masters,2015,Pune,25,Female,No,3,2
Bachelors,2014,Bangalore,25,Female,No,3,3
Bachelors,2014,Bangalore,28,Male,No,2,3
Bachelors,2017,Bangalore,28,Male,No,3,3
Masters,2015,New Delhi,27,Male,No,5,1
Bachelors,2014,Pune,26,Female,No,4,1
Masters,2018,Bangalore,25,Male,Yes,3,3
Bachelors,2016,Bangalore,28,Female,No,3,3
Bachelors,2018,New Delhi,26,Female,Yes,4,3
Bachelors,2015,Pune,24,Female,No,2,2
Bachelors,2017,Bangalore,27,Male,Yes,5,3
Bachelors,2014,Bangalore,26,Male,No,4,3
Bachelors,2014,Bangalore,24,Male,No,2,3
Bachelors,2016,Bangalore,28,Male,No,2,3
Bachelors,2015,Pune,25,Female,No,3,2
Bachelors,2013,Pune,27,Male,No,5,3
Bachelors,2015,Bangalore,28,Male,No,3,3
Bachelors,2014,Bangalore,26,Male,No,4,3
Bachelors,2012,Bangalore,24,Male,No,2,3
Bachelors,2013,Bangalore,27,Male,No,5,3
Bachelors,2015,Bangalore,26,Female,Yes,4,3
Bachelors,2015,Pune,28,Male,No,2,3
Bachelors,2014,New Delhi,24,Female,No,2,2
Bachelors,2013,Bangalore,24,Male,No,2,3
Bachelors,2018,Bangalore,28,Male,Yes,3,3
Bachelors,2015,Pune,27,Male,No,5,3
Bachelors,2014,Pune,26,Male,No,4,2
Bachelors,2016,Bangalore,25,Male,No,3,3
PHD,2013,Bangalore,25,Male,No,3,3
Bachelors,2014,Bangalore,25,Male,No,3,3
Bachelors,2017,New Delhi,28,Female,No,1,2
Bachelors,2015,Pune,26,Female,No,4,1
Masters,2017,New Delhi,26,Male,Yes,4,3
Bachelors,2014,Bangalore,27,Male,No,5,3
Bachelors,2012,New Delhi,24,Female,No,2,3
Bachelors,2017,New Delhi,24,Male,No,2,2
Bachelors,2015,Bangalore,26,Male,No,4,3
Bachelors,2012,Bangalore,26,Female,No,4,3
Bachelors,2015,Bangalore,24,Male,No,2,3
Masters,2014,Pune,25,Male,No,3,3
Bachelors,2015,Bangalore,28,Male,No,2,3
Bachelors,2016,Pune,24,Male,No,2,3
Bachelors,2016,Bangalore,26,Female,No,4,3
Bachelors,2015,Pune,25,Female,Yes,3,2
Masters,2013,New Delhi,25,Male,No,3,2
Bachelors,2017,Pune,25,Male,No,3,3
Bachelors,2015,Pune,26,Female,Yes,4,2
Masters,2015,Bangalore,26,Female,No,4,2
Bachelors,2012,Pune,27,Female,No,5,3
Masters,2017,New Delhi,28,Male,Yes,2,3
Bachelors,2016,Pune,25,Male,No,3,3
Bachelors,2016,Bangalore,24,Male,No,2,3
Bachelors,2016,Pune,28,Male,No,1,3
Bachelors,2013,New Delhi,27,Female,Yes,5,3
Bachelors,2015,New Delhi,26,Male,No,4,3
Bachelors,2016,Bangalore,27,Male,No,5,3
Bachelors,2017,Pune,27,Male,No,5,2
Bachelors,2012,Bangalore,27,Male,No,5,3
PHD,2018,New Delhi,25,Male,No,3,3
Bachelors,2014,Pune,27,Male,No,5,3
Bachelors,2013,Bangalore,26,Female,No,4,3
Masters,2017,Pune,24,Female,No,2,2
PHD,2016,New Delhi,28,Male,No,3,2
Masters,2014,New Delhi,26,Male,No,4,3
Masters,2017,New Delhi,27,Male,Yes,5,2
PHD,2013,New Delhi,27,Male,No,5,3
Masters,2014,New Delhi,28,Female,No,1,3
Bachelors,2017,Pune,27,Male,No,5,3
Bachelors,2015,Pune,26,Female,Yes,4,3
Masters,2014,Bangalore,26,Male,No,4,3
Masters,2012,Pune,27,Male,No,5,3
Bachelors,2017,Bangalore,26,Male,No,4,3
Masters,2017,Pune,27,Male,No,5,2
Bachelors,2017,Bangalore,27,Male,No,5,3
Bachelors,2016,Bangalore,25,Male,No,3,3
Bachelors,2016,Pune,27,Male,Yes,5,3
Bachelors,2014,Pune,25,Male,No,3,3
Bachelors,2017,Bangalore,28,Male,No,1,3
Masters,2012,Pune,24,Male,No,2,3
Bachelors,2014,Bangalore,25,Male,Yes,3,3
Bachelors,2013,Pune,25,Male,No,3,2
Bachelors,2012,Pune,27,Male,No,5,3
Bachelors,2017,Bangalore,26,Male,No,4,3
Bachelors,2013,Pune,26,Male,No,4,3
Bachelors,2016,Bangalore,24,Male,No,2,3
Bachelors,2014,Bangalore,25,Female,No,3,3
Bachelors,2015,New Delhi,25,Male,No,3,3
PHD,2012,Pune,24,Male,No,2,3
Bachelors,2013,Bangalore,27,Male,No,5,3
Bachelors,2015,Bangalore,25,Male,No,3,3
Bachelors,2016,Bangalore,26,Male,No,4,3
Masters,2015,New Delhi,24,Female,No,2,3
Bachelors,2012,Bangalore,26,Male,No,4,3
Bachelors,2013,Pune,24,Male,No,2,3
Masters,2017,New Delhi,24,Male,No,2,3
Bachelors,2014,Bangalore,25,Male,Yes,3,1
Bachelors,2018,Bangalore,28,Male,No,1,3
Bachelors,2017,Bangalore,28,Male,Yes,3,3
Masters,2013,Bangalore,28,Female,Yes,2,3
Bachelors,2013,Bangalore,26,Male,Yes,4,3
Masters,2018,New Delhi,24,Male,Yes,2,1
Bachelors,2012,Bangalore,25,Male,No,3,3
PHD,2013,New Delhi,27,Female,No,5,2
Masters,2018,New Delhi,28,Male,Yes,2,3
Bachelors,2014,Bangalore,28,Male,No,3,3
Bachelors,2014,Pune,27,Male,No,5,3
Bachelors,2013,New Delhi,24,Female,No,2,3
Bachelors,2015,Pune,28,Female,No,1,2
Bachelors,2015,Pune,26,Female,No,4,2
Bachelors,2017,New Delhi,28,Female,No,3,2
Masters,2012,Pune,27,Female,No,5,3
Masters,2017,Pune,25,Female,Yes,3,3
Masters,2013,New Delhi,25,Male,No,3,2
Masters,2017,New Delhi,27,Male,No,5,2
Bachelors,2017,Bangalore,24,Male,No,2,3
Bachelors,2016,Pune,24,Female,No,2,2
Bachelors,2012,Bangalore,26,Female,No,4,3
Bachelors,2012,Bangalore,24,Male,No,2,3
Masters,2017,Pune,24,Male,No,2,2
Bachelors,2015,Pune,25,Female,Yes,3,2
Bachelors,2015,New Delhi,26,Female,Yes,4,3
Bachelors,2013,Pune,24,Male,Yes,2,2
Bachelors,2013,Pune,25,Male,No,3,3
PHD,2015,New Delhi,28,Female,No,1,2
Bachelors,2016,Pune,24,Male,No,2,3
Bachelors,2017,Bangalore,24,Female,No,2,3
Bachelors,2016,Bangalore,27,Male,No,5,3
Bachelors,2017,Bangalore,25,Female,No,3,3
Masters,2014,New Delhi,27,Male,No,5,3
Bachelors,2016,Bangalore,27,Male,No,5,3
Bachelors,2016,Bangalore,28,Female,No,3,3
Bachelors,2018,Pune,25,Male,No,3,3
Bachelors,2013,Bangalore,26,Male,Yes,4,3
Bachelors,2015,New Delhi,25,Male,No,3,3
Bachelors,2017,New Delhi,25,Female,No,3,2
Bachelors,2012,Bangalore,25,Male,Yes,3,3
Bachelors,2014,New Delhi,28,Female,No,2,3
Bachelors,2017,New Delhi,27,Female,No,5,2
Bachelors,2018,Pune,26,Male,No,4,3
Masters,2014,New Delhi,28,Male,No,2,3
Bachelors,2013,Bangalore,27,Male,No,5,3
Masters,2017,Pune,25,Male,No,3,3
Bachelors,2018,Bangalore,28,Male,No,2,3
Bachelors,2016,Bangalore,24,Male,No,2,3
Bachelors,2012,Bangalore,24,Male,Yes,2,3
Bachelors,2015,Bangalore,28,Female,No,1,3
Bachelors,2014,Bangalore,24,Male,No,2,3
Bachelors,2013,Pune,27,Male,No,5,3
Bachelors,2016,New Delhi,24,Female,No,2,3
Bachelors,2012,Bangalore,25,Female,No,3,3
Bachelors,2012,Pune,28,Male,No,3,3
Bachelors,2018,Pune,25,Male,Yes,3,3
Bachelors,2014,Bangalore,27,Male,No,5,3
Bachelors,2016,Bangalore,27,Female,No,5,3
Masters,2015,Pune,24,Female,No,2,2
Masters,2014,Bangalore,24,Female,No,2,3
Bachelors,2013,Bangalore,25,Male,No,3,3
Masters,2017,New Delhi,24,Male,No,2,3
Bachelors,2015,Bangalore,25,Male,No,3,3
Bachelors,2017,Bangalore,24,Male,No,2,3
Bachelors,2017,New Delhi,28,Male,No,3,2
Bachelors,2016,Bangalore,28,Male,No,2,3
PHD,2014,New Delhi,24,Male,No,2,3
Masters,2017,New Delhi,26,Female,No,4,2
Masters,2018,New Delhi,25,Male,No,3,3
Bachelors,2014,Bangalore,28,Male,No,3,3
Bachelors,2014,Bangalore,25,Male,No,3,3
Bachelors,2018,New Delhi,28,Female,No,3,3
Masters,2017,New Delhi,25,Male,Yes,3,2
Masters,2013,New Delhi,28,Male,No,2,3
Bachelors,2014,Bangalore,26,Male,Yes,4,3
Masters,2017,New Delhi,25,Female,No,3,2
Masters,2013,New Delhi,25,Female,No,3,3
Bachelors,2016,Bangalore,25,Male,No,3,3
Bachelors,2018,Bangalore,24,Male,No,2,3
Masters,2017,New Delhi,26,Male,Yes,4,2
Bachelors,2013,Bangalore,24,Male,No,2,3
Bachelors,2013,Bangalore,28,Male,No,2,3
Masters,2015,Pune,28,Female,Yes,2,3
Bachelors,2015,Pune,27,Female,Yes,5,2
Masters,2014,Pune,27,Female,No,5,2
Bachelors,2017,New Delhi,27,Male,No,5,2
Bachelors,2012,Bangalore,26,Male,No,4,3
Masters,2015,Pune,27,Female,No,5,1
Bachelors,2013,Bangalore,28,Male,No,3,1
Bachelors,2012,Pune,26,Female,No,4,2
